Memory [MB],cllp,fine,omf,ppsa
reading,3.0,3.0,3.0,3.0
parsing,1.0,1.0,1.0,1.0
transformation,435.0,49.0,1.0,7.0
optimization,4180.0,988.0,493.0,452.0
post_processing,36.0,30.0,59.0,13.0
result,4657.0,1072.0,558.0,477.0
